tconst	primaryTitle	startYear	genres	rating	votes
tt1663202	The Revenant	2015	Adventure,Drama,Western	8.0	908973
tt1010048	Slumdog Millionaire	2008	Crime,Drama,Romance	8.0	894083
tt0246578	Donnie Darko	2001	Drama,Mystery,Sci-Fi	8.0	879777
tt0947798	Black Swan	2010	Drama,Thriller	8.0	856320
tt0317705	The Incredibles	2004	Action,Adventure,Animation	8.0	851639
tt2084970	The Imitation Game	2014	Biography,Drama,Thriller	8.0	851177
tt0378194	Kill Bill: Vol. 2	2004	Action,Crime,Thriller	8.0	835659
tt0401792	Sin City	2005	Crime,Thriller	8.0	806342
tt1504320	The King's Speech	2010	Biography,Drama,History	8.0	720556
tt0381061	Casino Royale	2006	Action,Adventure,Thriller	8.0	716066
tt3783958	La La Land	2016	Comedy,Drama,Music	8.0	715812
tt0107048	Groundhog Day	1993	Comedy,Drama,Fantasy	8.0	714427
tt1856101	Blade Runner 2049	2017	Action,Drama,Mystery	8.0	710293
tt1798709	Her	2013	Drama,Romance,Sci-Fi	8.0	699624
tt0758758	Into the Wild	2007	Adventure,Biography,Drama	8.0	677638
tt0440963	The Bourne Ultimatum	2007	Action,Mystery,Thriller	8.0	670382
tt0114746	12 Monkeys	1995	Mystery,Sci-Fi,Thriller	8.0	662925
tt0450259	Blood Diamond	2006	Adventure,Drama,Thriller	8.0	605494
tt0454921	The Pursuit of Happyness	2006	Biography,Drama	8.0	589508
tt2948356	Zootopia	2016	Action,Adventure,Animation	8.0	577311
tt0095953	Rain Man	1988	Drama	8.0	563552
