tconst	primaryTitle	startYear	genres	rating	votes
tt0101272	The Addams Family	1991	Comedy,Fantasy	6.9	190706
tt0071315	Chinatown	1974	Drama,Mystery,Thriller	8.1	363886
tt0477348	No Country for Old Men	2007	Crime,Drama,Thriller	8.2	1117222
tt0246578	Donnie Darko	2001	Drama,Mystery,Sci-Fi	8.0	879777
tt0092048	Tampopo	1985	Comedy	7.9	24425
tt0361748	Inglourious Basterds	2009	Adventure,Drama,War	8.4	1674384
tt0068874	The Bold Brothers	1972	Action,Drama	6.3	25
tt0068646	The Godfather	1972	Crime,Drama	9.2	2116815
tt0093822	Raising Arizona	1987	Comedy,Crime	7.3	155543
tt0121164	Corpse Bride	2005	Animation,Comedy,Drama	7.4	312948
tt0126559	Snatch	1976	Crime,Drama,Thriller	5.6	610
tt0387808	Idiocracy	2006	Adventure,Comedy,Sci-Fi	6.5	198971
tt0071230	Blazing Saddles	1974	Comedy,Western	7.7	158172
tt0373074	Kung Fu Hustle	2004	Action,Comedy,Fantasy	7.7	156553
tt0198781	Monsters, Inc.	2001	Adventure,Animation,Comedy	8.1	1024097
tt0085202	The Farewell	1982	Drama	6.0	66
tt0405326	The Slog Movie	1982	Documentary,Music	7.9	97
tt0319061	Big Fish	2003	Adventure,Drama,Fantasy	8.0	468502
tt0311289	Holes	2003	Adventure,Comedy,Drama	7.0	104829
tt0067912	Apocalypse Joe	1970	Action,Romance,Western	6.2	279
tt0482571	The Prestige	2006	Drama,Mystery,Sci-Fi	8.5	1509073
tt0093773	Predator	1987	Action,Adventure,Horror	7.8	475309
tt0087363	Gremlins	1984	Comedy,Fantasy,Horror	7.3	261249
tt0337563	13 Going on 30	2004	Comedy,Fantasy,Romance	6.3	232029
tt0128445	Rushmore	1998	Comedy,Drama,Romance	7.6	202666
tt1019452	A Serious Man	2009	Comedy,Drama	7.0	154073
tt0091378	Soul	1986	Drama	6.0	26
tt0335266	Lost in Translation	2003	Comedy,Drama	7.7	509542
tt0102663	The Pianist	1991	Romance	4.9	150
tt0096438	Who Framed Roger Rabbit	1988	Adventure,Animation,Comedy	7.7	225073
tt0077631	Grease	1978	Comedy,Musical,Romance	7.2	313484
tt0244316	Yi Yi	2000	Drama,Romance	8.1	30309
tt0108399	True Romance	1993	Crime,Drama,Romance	7.9	251602
tt0212720	A.I. Artificial Intelligence	2001	Adventure,Drama,Sci-Fi	7.2	330685
tt0120265	Taste of Cherry	1997	Drama	7.7	39697
tt0265666	The Royal Tenenbaums	2001	Comedy,Drama	7.6	321941
tt0085334	A Christmas Story	1983	Comedy,Family	7.9	174952
